Nom Complet,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nascut a Espanya,Data_naixement,Edat,Increment_num
Núria Martínez,Núria,Martínez,Espanya,Barcelona,19,6,1981,Dona,1977.78,No,Grup C,True,1981-06-19,44,0.02
Joan López Ferrer,Joan,López Ferrer,Espanya,Barcelona,21,6,1951,Home,2844.78,No,Grup C,True,1951-06-21,74,0.02
Arnau López Sánchez,Arnau,López Sánchez,Espanya,Barcelona,22,5,1951,Home,1723.8,Sí,Grup C,True,1951-05-22,74,0.02
Oriol Castells,Oriol,Castells,Espanya,Barcelona,8,7,1950,Home,2835.6,Sí,Grup C,True,1950-07-08,75,0.02
Laia Romero,Laia,Romero,Espanya,Barcelona,17,4,1962,Dona,1796.22,No,Grup C,True,1962-04-17,63,0.02
Oriol Martínez,Oriol,Martínez,Espanya,Barcelona,9,7,2002,Home,2059.38,Sí,Grup C,True,2002-07-09,23,0.02
Núria Ferrer,Núria,Ferrer,Espanya,Barcelona,10,4,1957,Dona,2413.32,No,Grup C,True,1957-04-10,68,0.02
Núria Martínez Sánchez,Núria,Martínez Sánchez,Espanya,Barcelona,23,7,1999,Dona,2228.7,Sí,Grup C,True,1999-07-23,26,0.02
Carla Ferrer,Carla,Ferrer,Espanya,Barcelona,17,12,1963,Dona,1966.56,Sí,Grup C,True,1963-12-17,62,0.02
Jordi Sánchez,Jordi,Sánchez,Espanya,Barcelona,1,3,1976,Home,1796.22,No,Grup C,True,1976-03-01,50,0.02
Jordi Martínez Sánchez,Jordi,Martínez Sánchez,Espanya,Barcelona,12,12,1970,Home,2715.24,Sí,Grup C,True,1970-12-12,55,0.02
Arnau Martínez López,Arnau,Martínez López,Espanya,Barcelona,5,9,1979,Home,2339.88,No,Grup C,True,1979-09-05,46,0.02
Joan Romero,Joan,Romero,Espanya,Barcelona,8,1,1985,Home,2437.8,No,Grup C,True,1985-01-08,41,0.02
Marc Castells,Marc,Castells,Espanya,Barcelona,15,6,1952,Home,2659.14,Sí,Grup C,True,1952-06-15,73,0.02
Toni Castells,Toni,Castells,Espanya,Barcelona,20,10,1984,Home,1868.64,No,Grup C,True,1984-10-20,41,0.02
Jordi García,Jordi,García,Espanya,Barcelona,23,5,1984,Home,1732.98,Sí,Grup C,True,1984-05-23,41,0.02
Marta Martínez Martínez,Marta,Martínez Martínez,Espanya,Bilbao,23,8,1995,NC,2047.14,No,Grup C,True,1995-08-23,30,0.02
Núria Castells,Núria,Castells,Espanya,Bilbao,14,11,1960,NC,2856.0,Sí,Grup C,True,1960-11-14,65,0.02
Marc Sánchez López,Marc,Sánchez López,Espanya,Bilbao,6,8,1990,Home,2026.74,No,Grup C,True,1990-08-06,35,0.02
Toni García,Toni,García,Espanya,Bilbao,28,10,1998,Home,2768.28,Sí,Grup C,True,1998-10-28,27,0.02
Eva Castells García,Eva,Castells García,Espanya,Bilbao,18,3,1993,Dona,2680.56,No,Grup C,True,1993-03-18,33,0.02
Pau Ferrer López,Pau,Ferrer López,Espanya,Bilbao,22,11,1960,Home,2621.4,Sí,Grup C,True,1960-11-22,65,0.02
Marc Romero Romero,Marc,Romero Romero,Espanya,Bilbao,8,8,1959,Home,2223.6,Sí,Grup C,True,1959-08-08,66,0.02
Oriol Romero Sánchez,Oriol,Romero Sánchez,Espanya,Bilbao,6,2,1997,Home,2843.76,Sí,Grup C,True,1997-02-06,29,0.02
Toni López,Toni,López,Espanya,Bilbao,26,1,1998,Home,1899.24,No,Grup C,True,1998-01-26,28,0.02
Eva Sánchez Castells,Eva,Sánchez Castells,Espanya,Bilbao,23,9,1987,Dona,2668.32,Sí,Grup C,True,1987-09-23,38,0.02
Núria Martínez Ferrer,Núria,Martínez Ferrer,Espanya,Bilbao,27,3,1965,Dona,2338.86,No,Grup C,True,1965-03-27,60,0.02
Marc Castells,Marc,Castells,Espanya,Bilbao,11,9,1984,Home,1880.88,No,Grup C,True,1984-09-11,41,0.02
Marta López,Marta,López,Espanya,Bilbao,2,9,1954,Altres,1960.44,Sí,Grup C,True,1954-09-02,71,0.02
Marc Martínez Sánchez,Marc,Martínez Sánchez,Espanya,Bilbao,21,12,1965,Home,2291.94,Sí,Grup C,True,1965-12-21,60,0.02
Toni Sánchez Romero,Toni,Sánchez Romero,Espanya,Bilbao,18,12,1952,Home,2074.68,No,Grup C,True,1952-12-18,73,0.02
Laia Sánchez Romero,Laia,Sánchez Romero,Espanya,Bilbao,4,12,1960,Dona,2101.2,Sí,Grup C,True,1960-12-04,65,0.02
Jordi Romero García,Jordi,Romero García,Espanya,Bilbao,5,12,1978,Home,1986.96,Sí,Grup C,True,1978-12-05,47,0.02
Toni López García,Toni,López García,Espanya,Bilbao,23,2,1976,Home,2534.7,No,Grup C,True,1976-02-23,50,0.02
Joan Ferrer García,Joan,Ferrer García,Espanya,Bilbao,5,5,1995,Home,2913.12,Sí,Grup C,True,1995-05-05,30,0.02
Toni Romero Ferrer,Toni,Romero Ferrer,Espanya,Bilbao,13,12,1970,Home,2392.92,No,Grup C,True,1970-12-13,55,0.02
Jordi Castells López,Jordi,Castells López,Espanya,Bilbao,12,2,1961,Home,2407.2,Sí,Grup C,True,1961-02-12,65,0.02
Joan Romero García,Joan,Romero García,Espanya,Bilbao,25,1,1954,Home,2056.32,No,Grup C,True,1954-01-25,72,0.02
Joan López García,Joan,López García,Espanya,Bilbao,21,11,1987,Home,2681.58,No,Grup C,True,1987-11-21,38,0.02
Clara Romero López,Clara,Romero López,Espanya,Bilbao,11,1,1955,Altres,2418.42,Sí,Grup C,True,1955-01-11,71,0.02
Laia López,Laia,López,Espanya,Madrid,11,7,1964,NC,2104.26,Sí,Grup C,True,1964-07-11,61,0.02
Pau Sánchez,Pau,Sánchez,Espanya,Madrid,8,10,2001,Home,2132.82,No,Grup C,True,2001-10-08,24,0.02
Marc García,Marc,García,Espanya,Madrid,19,10,1955,Home,2219.52,Sí,Grup C,True,1955-10-19,70,0.02
Pau Romero Romero,Pau,Romero Romero,Espanya,Madrid,6,12,1988,Home,2776.44,No,Grup C,True,1988-12-06,37,0.02
Arnau Castells Castells,Arnau,Castells Castells,Espanya,Madrid,7,11,1963,Home,2200.14,No,Grup C,True,1963-11-07,62,0.02
Arnau Romero,Arnau,Romero,Espanya,Madrid,26,6,1985,Home,2790.72,No,Grup C,True,1985-06-26,40,0.02
Clara Romero,Clara,Romero,Espanya,Madrid,5,12,1986,Dona,2593.86,No,Grup C,True,1986-12-05,39,0.02
Eva García Martínez,Eva,García Martínez,Espanya,Madrid,10,7,1965,Dona,2033.88,Sí,Grup C,True,1965-07-10,60,0.02
Marc Castells,Marc,Castells,Espanya,Madrid,28,11,1976,Home,2261.34,No,Grup C,True,1976-11-28,49,0.02
Carla Romero,Carla,Romero,Espanya,Madrid,8,11,1991,Dona,2567.34,Sí,Grup C,True,1991-11-08,34,0.02
Arnau Ferrer Sánchez,Arnau,Ferrer Sánchez,Espanya,Madrid,17,7,1964,Home,2357.22,No,Grup C,True,1964-07-17,61,0.02
Laia García García,Laia,García García,Espanya,Madrid,8,12,1972,Dona,2269.5,Sí,Grup C,True,1972-12-08,53,0.02
Oriol López Martínez,Oriol,López Martínez,Espanya,Madrid,17,3,1978,Home,2328.66,Sí,Grup C,True,1978-03-17,48,0.02
Marta López,Marta,López,Espanya,Madrid,16,7,2001,Dona,2002.26,Sí,Grup C,True,2001-07-16,24,0.02
Pau Sánchez Martínez,Pau,Sánchez Martínez,Espanya,Madrid,2,3,1981,Home,2560.2,Sí,Grup C,True,1981-03-02,45,0.02
Jordi López,Jordi,López,Espanya,Madrid,27,4,1996,Home,2899.86,Sí,Grup C,True,1996-04-27,29,0.02
Arnau García Romero,Arnau,García Romero,Espanya,Madrid,13,12,1970,Home,2362.32,No,Grup C,True,1970-12-13,55,0.02
Marc Castells,Marc,Castells,Espanya,Madrid,3,8,1978,Home,1778.88,No,Grup C,True,1978-08-03,47,0.02
Joan López,Joan,López,Espanya,Sevilla,13,10,1964,Home,2657.1,Sí,Grup C,True,1964-10-13,61,0.02
Marta Ferrer López,Marta,Ferrer López,Espanya,Sevilla,19,7,1969,NC,2471.46,No,Grup C,True,1969-07-19,56,0.02
Clara Martínez,Clara,Martínez,Espanya,Sevilla,4,7,2001,Dona,2576.52,Sí,Grup C,True,2001-07-04,24,0.02
Clara Ferrer,Clara,Ferrer,Espanya,Sevilla,21,12,1999,Altres,2440.86,Sí,Grup C,True,1999-12-21,26,0.02
Eva Martínez,Eva,Martínez,Espanya,Sevilla,18,3,1986,Dona,1836.0,No,Grup C,True,1986-03-18,40,0.02
Arnau Sánchez,Arnau,Sánchez,Espanya,Sevilla,13,11,1967,Home,2110.38,No,Grup C,True,1967-11-13,58,0.02
Carla Ferrer,Carla,Ferrer,Espanya,Sevilla,11,9,1955,Dona,2101.2,Sí,Grup C,True,1955-09-11,70,0.02
Arnau Martínez,Arnau,Martínez,Espanya,Sevilla,3,6,1962,Home,1880.88,Sí,Grup C,True,1962-06-03,63,0.02
Carla Sánchez,Carla,Sánchez,Espanya,Sevilla,2,1,1952,Dona,1821.72,No,Grup C,True,1952-01-02,74,0.02
Eva Romero Romero,Eva,Romero Romero,Espanya,Sevilla,26,2,1954,Dona,1766.64,No,Grup C,True,1954-02-26,72,0.02
Joan Martínez Romero,Joan,Martínez Romero,Espanya,Sevilla,20,4,1994,NC,1871.7,No,Grup C,True,1994-04-20,31,0.02
Anna Ferrer,Anna,Ferrer,Espanya,Sevilla,25,5,2000,Dona,2207.28,No,Grup C,True,2000-05-25,25,0.02
Oriol Sánchez,Oriol,Sánchez,Espanya,Sevilla,27,2,1958,Home,2589.78,No,Grup C,True,1958-02-27,68,0.02
Joan Romero,Joan,Romero,Espanya,Sevilla,10,11,1952,Home,1942.08,No,Grup C,True,1952-11-10,73,0.02
Jordi García,Jordi,García,Espanya,Sevilla,13,6,1987,Home,2784.6,Sí,Grup C,True,1987-06-13,38,0.02
Joan Martínez,Joan,Martínez,Espanya,Sevilla,26,5,1976,Home,2873.34,No,Grup C,True,1976-05-26,49,0.02
Marta Martínez Romero,Marta,Martínez Romero,Espanya,Sevilla,7,9,1955,Dona,2001.24,No,Grup C,True,1955-09-07,70,0.02
Pau Sánchez,Pau,Sánchez,Espanya,Sevilla,20,10,1953,Home,2820.3,No,Grup C,True,1953-10-20,72,0.02
Eva Romero,Eva,Romero,Espanya,Sevilla,16,11,1964,NC,1999.2,No,Grup C,True,1964-11-16,61,0.02
Oriol Romero Romero,Oriol,Romero Romero,Espanya,Sevilla,11,7,1964,Altres,1989.0,No,Grup C,True,1964-07-11,61,0.02
Núria Sánchez Romero,Núria,Sánchez Romero,Espanya,Sevilla,9,1,1974,Dona,1939.02,No,Grup C,True,1974-01-09,52,0.02
Jordi Castells,Jordi,Castells,Espanya,Sevilla,14,12,1986,Altres,2304.18,Sí,Grup C,True,1986-12-14,39,0.02
Marc Sánchez García,Marc,Sánchez García,Espanya,Sevilla,4,3,1974,Altres,1643.22,Sí,Grup C,True,1974-03-04,52,0.02
Laia Romero López,Laia,Romero López,Espanya,Sevilla,23,6,2005,Dona,2407.2,No,Grup C,True,2005-06-23,20,0.02
Toni Martínez,Toni,Martínez,Espanya,València,12,9,1992,Home,2599.98,Sí,Grup C,True,1992-09-12,33,0.02
Pau López Martínez,Pau,López Martínez,Espanya,València,1,1,1988,Home,2861.1,No,Grup C,True,1988-01-01,38,0.02
Marta Romero,Marta,Romero,Espanya,València,3,12,1958,Dona,1562.64,No,Grup C,True,1958-12-03,67,0.02
Clara Castells Castells,Clara,Castells Castells,Espanya,València,15,8,1962,Dona,2372.52,Sí,Grup C,True,1962-08-15,63,0.02
Marc García Ferrer,Marc,García Ferrer,Espanya,València,21,5,1968,Home,2185.86,Sí,Grup C,True,1968-05-21,57,0.02
Carla Sánchez Romero,Carla,Sánchez Romero,Espanya,València,17,10,1959,Dona,2453.1,Sí,Grup C,True,1959-10-17,66,0.02
Jordi García García,Jordi,García García,Espanya,València,18,6,1967,Home,2438.82,Sí,Grup C,True,1967-06-18,58,0.02
Marc Romero Ferrer,Marc,Romero Ferrer,Espanya,València,22,9,1993,Home,1777.86,Sí,Grup C,True,1993-09-22,32,0.02
Laia Romero Martínez,Laia,Romero Martínez,Espanya,València,18,7,1963,Altres,2089.98,No,Grup C,True,1963-07-18,62,0.02
Carla Ferrer García,Carla,Ferrer García,Espanya,València,25,2,1970,Dona,2564.28,No,Grup C,True,1970-02-25,56,0.02
Pau García,Pau,García,Espanya,València,1,3,2000,Home,2437.8,No,Grup C,True,2000-03-01,26,0.02
Marta López,Marta,López,Espanya,València,4,11,1971,Dona,2398.02,Sí,Grup C,True,1971-11-04,54,0.02
Toni Martínez,Toni,Martínez,Espanya,València,13,7,1978,Home,1966.56,Sí,Grup C,True,1978-07-13,47,0.02
Carla López López,Carla,López López,Espanya,València,9,10,1970,Dona,2245.02,No,Grup C,True,1970-10-09,55,0.02
Jordi Romero,Jordi,Romero,Espanya,València,1,1,1973,Home,2352.12,No,Grup C,True,1973-01-01,53,0.02
Marc García Castells,Marc,García Castells,Espanya,València,20,12,1983,Home,2970.24,Sí,Grup C,True,1983-12-20,42,0.02
Laia Sánchez,Laia,Sánchez,Espanya,València,17,7,1967,Dona,2300.1,No,Grup C,True,1967-07-17,58,0.02
Élise Dubois,Élise,Dubois,França,Lió,4,12,1950,Dona,1907.4,No,Grup C,False,1950-12-04,75,0.02
Camille Girard Lefevre,Camille,Girard Lefevre,França,Marsella,7,12,2003,Dona,2495.94,Sí,Grup C,False,2003-12-07,22,0.02
Élise Lefevre,Élise,Lefevre,França,París,7,11,1972,Dona,1729.92,Sí,Grup C,False,1972-11-07,53,0.02
Élise Moreau,Élise,Moreau,França,París,9,10,1959,Dona,2149.14,Sí,Grup C,False,1959-10-09,66,0.02
Gabriela Ramírez González,Gabriela,Ramírez González,Mèxic,Ciutat de Mèxic,7,5,1980,Dona,2403.12,No,Grup C,False,1980-05-07,45,0.02
Andrés Hernández Hernández,Andrés,Hernández Hernández,Mèxic,Ciutat de Mèxic,11,12,1983,Home,2215.44,No,Grup C,False,1983-12-11,42,0.02
José Ramírez Hernández,José,Ramírez Hernández,Mèxic,Guadalajara,11,6,1966,Home,1967.58,No,Grup C,False,1966-06-11,59,0.02
María Cruz,María,Cruz,Mèxic,Guadalajara,27,1,1963,Dona,2461.26,No,Grup C,False,1963-01-27,63,0.02
Luisa Ramírez,Luisa,Ramírez,Mèxic,Guadalajara,8,6,1984,Dona,1897.2,No,Grup C,False,1984-06-08,41,0.02
Camila Hernández,Camila,Hernández,Mèxic,Guadalajara,26,9,1978,Dona,2340.9,Sí,Grup C,False,1978-09-26,47,0.02
Camila Cruz Ramírez,Camila,Cruz Ramírez,Mèxic,Guadalajara,4,10,1994,Dona,1860.48,Sí,Grup C,False,1994-10-04,31,0.02
Miguel Oliveira Pereira,Miguel,Oliveira Pereira,Portugal,Lisboa,19,9,1978,Home,2293.98,No,Grup C,False,1978-09-19,47,0.02
Inês Silva,Inês,Silva,Portugal,Lisboa,28,2,1980,Dona,1589.16,Sí,Grup C,False,1980-02-28,46,0.02
Rui Oliveira,Rui,Oliveira,Portugal,Lisboa,9,3,1951,Home,1931.88,No,Grup C,False,1951-03-09,75,0.02
Maria Silva,Maria,Silva,Portugal,Porto,14,12,1991,Altres,2507.16,No,Grup C,False,1991-12-14,34,0.02
Sophie Brown,Sophie,Brown,Regne Unit,Londres,12,5,1956,Dona,1562.64,No,Grup C,False,1956-05-12,69,0.02
Olivia Jones Brown,Olivia,Jones Brown,Regne Unit,Londres,20,1,1965,Altres,2509.2,Sí,Grup C,False,1965-01-20,61,0.02
Isla Brown Jones,Isla,Brown Jones,Regne Unit,Londres,5,3,1954,Altres,2325.6,Sí,Grup C,False,1954-03-05,72,0.02
Isla Smith Brown,Isla,Smith Brown,Regne Unit,Londres,24,9,1991,Dona,2212.38,Sí,Grup C,False,1991-09-24,34,0.02
Sophie Brown,Sophie,Brown,Regne Unit,Londres,17,5,1983,Dona,2232.78,Sí,Grup C,False,1983-05-17,42,0.02
